commits,complexity,file,score
6,434,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,456,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionMissmatchIT.java",0.0
3,466,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionMissmatchTests.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,420,"buildSrc/src/testKit/testingConventions/not_implementing_base/src/test/java/org/elasticsearch/gradle/testkit/Unit.java",0.0
4,249,"buildSrc/src/testKit/testingConventions/settings.gradle",0.0
6,434,"buildSrc/src/testKit/testingConventions/tests_in_main/src/main/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/tests_in_main/src/main/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
6,434,"buildSrc/src/testKit/testingConventions/valid_setup_no_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,437,"buildSrc/src/testKit/testingConventions/valid_setup_no_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,427,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/Integration.java",0.0
3,454,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionIT.java",0.0
3,450,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/NamingConventionTests.java",0.0
3,420,"buildSrc/src/testKit/testingConventions/valid_setup_with_base/src/test/java/org/elasticsearch/gradle/testkit/Unit.java",0.0
29,1593,"buildSrc/src/testKit/thirdPartyAudit/build.gradle",0.0
3,579,"buildSrc/src/testKit/thirdPartyAudit/gradle.properties",0.0
15,1333,"buildSrc/src/testKit/thirdPartyAudit/sample_jars/build.gradle",0.0
5,105,"buildSrc/src/testKit/thirdPartyAudit/sample_jars/src/main/java/TestingIO.java",0.0
651,1420,"buildSrc/version.properties",0.6
51,1209,"client/benchmark/build.gradle",0.0
10,6637,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/AbstractBenchmark.java",0.0
6,1127,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkMain.java",0.0
5,3470,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkRunner.java",0.0
4,638,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/BenchmarkTask.java",0.0
5,2127,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/Metrics.java",0.0
9,4116,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/MetricsCalculator.java",0.0
5,1448,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/Sample.java",0.0
5,924,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/metrics/SampleRecorder.java",0.0
12,7024,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/bulk/BulkBenchmarkTask.java",0.1
4,519,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/bulk/BulkRequestExecutor.java",0.0
6,2565,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/search/SearchBenchmarkTask.java",0.0
4,488,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/ops/search/SearchRequestExecutor.java",0.0
17,4147,"client/benchmark/src/main/java/org/elasticsearch/client/benchmark/rest/RestClientBenchmark.java",0.0
3,265,"client/benchmark/src/main/resources/log4j2.properties",0.0
37,928,"client/client-benchmark-noop-api-plugin/build.gradle",0.0
12,2401,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/NoopPlugin.java",0.0
12,780,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/NoopBulkAction.java",0.0
40,4425,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/RestNoopBulkAction.java",0.1
23,2113,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/bulk/TransportNoopBulkAction.java",0.0
14,798,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/NoopSearchAction.java",0.0
16,1554,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/RestNoopSearchAction.java",0.0
21,2281,"client/client-benchmark-noop-api-plugin/src/main/java/org/elasticsearch/plugin/noop/action/search/TransportNoopSearchAction.java",0.0
162,5795,"client/rest-high-level/build.gradle",0.6
7,5994,"client/rest-high-level/src/main/java/org/elasticsearch/client/AsyncSearchClient.java",0.0
13,4614,"client/rest-high-level/src/main/java/org/elasticsearch/client/AsyncSearchRequestConverters.java",0.0
33,27947,"client/rest-high-level/src/main/java/org/elasticsearch/client/CcrClient.java",0.6
33,7077,"client/rest-high-level/src/main/java/org/elasticsearch/client/CcrRequestConverters.java",0.1
36,17003,"client/rest-high-level/src/main/java/org/elasticsearch/client/ClusterClient.java",0.4
15,7028,"client/rest-high-level/src/main/java/org/elasticsearch/client/ClusterRequestConverters.java",0.1
18,11515,"client/rest-high-level/src/main/java/org/elasticsearch/client/EnrichClient.java",0.1
13,3100,"client/rest-high-level/src/main/java/org/elasticsearch/client/EnrichRequestConverters.java",0.0
7,4739,"client/rest-high-level/src/main/java/org/elasticsearch/client/EqlClient.java",0.0
7,1721,"client/rest-high-level/src/main/java/org/elasticsearch/client/EqlRequestConverters.java",0.0
5,5335,"client/rest-high-level/src/main/java/org/elasticsearch/client/FeaturesClient.java",0.0
5,1307,"client/rest-high-level/src/main/java/org/elasticsearch/client/FeaturesRequestConverters.java",0.0
11,7215,"client/rest-high-level/src/main/java/org/elasticsearch/client/GetAliasesResponse.java",0.1
13,2223,"client/rest-high-level/src/main/java/org/elasticsearch/client/GraphClient.java",0.0
11,1009,"client/rest-high-level/src/main/java/org/elasticsearch/client/GraphRequestConverters.java",0.0
58,36950,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndexLifecycleClient.java",1.4
26,14173,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndexLifecycleRequestConverters.java",0.2
136,87672,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndicesClient.java",7.6
86,34907,"client/rest-high-level/src/main/java/org/elasticsearch/client/IndicesRequestConverters.java",1.9
22,9223,"client/rest-high-level/src/main/java/org/elasticsearch/client/IngestClient.java",0.1
13,4074,"client/rest-high-level/src/main/java/org/elasticsearch/client/IngestRequestConverters.java",0.0
26,12141,"client/rest-high-level/src/main/java/org/elasticsearch/client/LicenseClient.java",0.2
